,cnty_fips,display_name,Y,theme_range,gender,race,year
106,48213,"""Henderson, (TX)""",-1.0,,1,3,2006-2008
107,48215,"""Hidalgo, (TX)""",25.7,21.2 - 27.8 (6),1,3,2006-2008
108,48217,"""Hill, (TX)""",-1.0,,1,3,2006-2008
109,48219,"""Hockley, (TX)""",-1.0,,1,3,2006-2008
110,48221,"""Hood, (TX)""",-1.0,,1,3,2006-2008
111,48223,"""Hopkins, (TX)""",-1.0,,1,3,2006-2008
112,48225,"""Houston, (TX)""",-1.0,,1,3,2006-2008
113,48227,"""Howard, (TX)""",-1.0,,1,3,2006-2008
114,48229,"""Hudspeth, (TX)""",-1.0,,1,3,2006-2008
115,48231,"""Hunt, (TX)""",-1.0,,1,3,2006-2008
116,48233,"""Hutchinson, (TX)""",-1.0,,1,3,2006-2008
117,48235,"""Irion, (TX)""",-1.0,,1,3,2006-2008
118,48237,"""Jack, (TX)""",-1.0,,1,3,2006-2008
119,48239,"""Jackson, (TX)""",-1.0,,1,3,2006-2008
120,48241,"""Jasper, (TX)""",-1.0,,1,3,2006-2008
121,48243,"""Jeff Davis, (TX)""",-1.0,,1,3,2006-2008
122,48245,"""Jefferson, (TX)""",-1.0,,1,3,2006-2008
123,48247,"""Jim Hogg, (TX)""",-1.0,,1,3,2006-2008
124,48249,"""Jim Wells, (TX)""",44.3,31.2 - 44.3 (6),1,3,2006-2008
125,48251,"""Johnson, (TX)""",-1.0,,1,3,2006-2008
126,48253,"""Jones, (TX)""",-1.0,,1,3,2006-2008
127,48255,"""Karnes, (TX)""",-1.0,,1,3,2006-2008
128,48257,"""Kaufman, (TX)""",-1.0,,1,3,2006-2008
129,48259,"""Kendall, (TX)""",-1.0,,1,3,2006-2008
