"cnty_fips","display_name","Value","theme_range","dm_prev_adj","ob_prev_adj","ltpia_prev_adj","no_hsdip","no_college","female_hd","foodstmp","home_val","income","GINI","povpct","unemploy"
48145,"""Falls, (TX)""",87.4,"65.9 - 103.1 (50)",10.7,32,27.2,23,87.9,12.7,17.4,63,38.6,0.453,25.6,4.5
48147,"""Fannin, (TX)""",61.4,"58.8 - 65.8 (50)",8.9,30.5,24.6,14.8,83.8,12.1,11.9,98.2,46.3,0.436,16.1,3.5
48149,"""Fayette, (TX)""",52.5,"50.8 - 58.7 (51)",9.3,26.9,20.9,17,81.9,6.9,7.4,158.7,53.8,0.47,11.1,3.3
48151,"""Fisher, (TX)""",48.7,"42.5 - 50.7 (49)",9,28.2,22.4,16.8,82,7,9.3,60.5,46.2,0.453,15.6,3.9
48153,"""Floyd, (TX)""",49.2,"42.5 - 50.7 (49)",8.9,28.5,22.2,26.1,82.6,13.3,22.6,60.5,40.5,0.449,22.8,6
48155,"""Foard, (TX)""",50.7,"42.5 - 50.7 (49)",9,28.4,22.6,22.5,83.3,7.8,15.5,47.4,36.1,0.422,18,3.9
48157,"""Fort Bend, (TX)""",54.7,"50.8 - 58.7 (51)",9.1,28.6,21.9,10.3,54.3,12.3,6.8,233.3,91,0.434,8.3,4.8
48159,"""Franklin, (TX)""",63.4,"58.8 - 65.8 (50)",9.2,30.8,26.7,13,80.2,8.8,12.5,130.3,44.2,0.46,15.8,4.7
48161,"""Freestone, (TX)""",58.8,"58.8 - 65.8 (50)",10,29.7,27.5,18.2,88.3,13.1,11.7,86.1,45.7,0.47,19.1,6.9
48163,"""Frio, (TX)""",65.4,"58.8 - 65.8 (50)",8.8,28.6,22.3,35,92.8,15.5,19.3,75.9,39.2,0.496,25.8,4.3
48165,"""Gaines, (TX)""",43.4,"42.5 - 50.7 (49)",8.5,30.4,26.6,38.3,88.8,8.2,8.3,111,51.9,0.445,14.6,3.3
48167,"""Galveston, (TX)""",80.5,"65.9 - 103.1 (50)",9.8,31.3,23.1,12,70.5,13.6,10.9,171.6,64.2,0.471,12.9,5.3
48169,"""Garza, (TX)""",52.8,"50.8 - 58.7 (51)",8.7,27.9,23.7,42,89.8,20.9,11.8,77.5,44.2,0.448,30,3.3
48171,"""Gillespie, (TX)""",26.6,"19.6 - 42.4 (52)",9.8,27.1,21.8,10.1,66.6,9,6.6,269.9,58.8,0.471,9.8,2.7
48173,"""Glasscock, (TX)""",47.7,"42.5 - 50.7 (49)",9,28,22.5,25.1,74.7,3.8,3.8,193.6,71.4,0.463,8.7,2.4
48175,"""Goliad, (TX)""",74.5,"65.9 - 103.1 (50)",9.4,30.1,23.4,10.4,82.4,11.7,10.2,130.9,55.3,0.476,14.3,5.1
48177,"""Gonzales, (TX)""",41,"19.6 - 42.4 (52)",9.8,29.2,25.8,26.8,86.8,12.9,16.2,92.9,45.5,0.466,17.1,3.5
48179,"""Gray, (TX)""",79.8,"65.9 - 103.1 (50)",9.6,31.8,23.5,19.6,87.2,9.7,12.4,71.7,47.8,0.439,19.4,6.1
48181,"""Grayson, (TX)""",70.7,"65.9 - 103.1 (50)",9.1,30.5,25.4,11.8,79.8,12.5,12.5,116.6,51.8,0.445,13.2,3.7
