,cnty_fips,display_name,Value,theme_range,dm_prev_adj,ob_prev_adj,ltpia_prev_adj,povpct,perc_aian,perc_api,perc_black,perc_white,perc_hisp,perc_65up,total_pop,year,Y
65,48131,"""Duval, (TX)""",30.3,27.8 - 62.1 (49),9.0,26.9,23.3,26.3,0.0,0.2,1.4,8.9,89.3,18.0,11434,2005-2007,346.45
66,48133,"""Eastland, (TX)""",26.7,23.8 - 27.7 (49),8.3,30.5,23.6,20.0,0.4,0.2,2.2,79.8,15.9,21.9,18278,2005-2007,488.02
67,48135,"""Ector, (TX)""",23.7,20.0 - 23.7 (52),8.9,33.1,30.9,13.9,0.1,1.0,4.1,34.4,58.7,9.5,155744,2005-2007,3691.13
68,48137,"""Edwards, (TX)""",26.9,23.8 - 27.7 (49),9.0,29.6,23.5,23.3,0.0,0.0,0.0,43.0,56.8,28.5,2111,2005-2007,56.79
69,48139,"""Ellis, (TX)""",18.9,16.1 - 19.9 (51),10.5,35.1,25.2,9.7,0.2,0.7,8.9,62.5,25.4,12.0,164092,2005-2007,3101.34
70,48141,"""El Paso, (TX)""",14.9,11.5 - 16.0 (51),10.3,29.5,20.9,22.7,0.2,1.1,3.0,12.4,82.1,11.4,834825,2005-2007,12438.89
71,48143,"""Erath, (TX)""",20.0,20.0 - 23.7 (52),8.5,27.4,23.0,19.5,0.4,0.8,1.6,75.3,20.5,13.8,41016,2005-2007,820.32
72,48145,"""Falls, (TX)""",38.8,27.8 - 62.1 (49),10.7,32.0,27.2,25.6,0.2,0.2,24.2,51.5,22.7,17.0,17289,2005-2007,670.81
73,48147,"""Fannin, (TX)""",24.0,23.8 - 27.7 (49),8.9,30.5,24.6,16.1,0.4,0.7,6.4,79.4,10.5,18.8,33787,2005-2007,810.89
74,48149,"""Fayette, (TX)""",20.7,20.0 - 23.7 (52),9.3,26.9,20.9,11.1,0.0,0.7,5.9,71.9,20.4,23.7,24963,2005-2007,516.73
75,48151,"""Fisher, (TX)""",18.4,16.1 - 19.9 (51),9.0,28.2,22.4,15.6,0.0,0.5,2.8,66.4,29.8,23.5,3875,2005-2007,71.3
76,48153,"""Floyd, (TX)""",21.7,20.0 - 23.7 (52),8.9,28.5,22.2,22.8,0.2,0.2,2.5,37.9,57.7,18.5,5953,2005-2007,129.18
77,48155,"""Foard, (TX)""",20.8,20.0 - 23.7 (52),9.0,28.4,22.6,18.0,0.0,0.0,2.1,76.1,21.6,26.6,1414,2005-2007,29.41
78,48157,"""Fort Bend, (TX)""",17.5,16.1 - 19.9 (51),9.1,28.6,21.9,8.3,0.1,19.2,20.2,34.3,24.1,9.7,711421,2005-2007,12449.87
79,48159,"""Franklin, (TX)""",29.0,27.8 - 62.1 (49),9.2,30.8,26.7,15.8,0.5,0.1,4.5,79.5,13.9,20.0,10639,2005-2007,308.53
80,48161,"""Freestone, (TX)""",39.6,27.8 - 62.1 (49),10.0,29.7,27.5,19.1,0.1,0.3,16.1,67.5,14.7,19.0,19646,2005-2007,777.98
81,48163,"""Frio, (TX)""",27.0,23.8 - 27.7 (49),8.8,28.6,22.3,25.8,0.0,0.6,3.5,16.4,78.5,12.3,19110,2005-2007,515.97
82,48165,"""Gaines, (TX)""",19.3,16.1 - 19.9 (51),8.5,30.4,26.6,14.6,0.1,0.4,2.2,56.3,40.5,8.6,19889,2005-2007,383.86
83,48167,"""Galveston, (TX)""",26.1,23.8 - 27.7 (49),9.8,31.3,23.1,12.9,0.2,3.3,12.5,58.0,23.9,13.2,321184,2005-2007,8382.9
84,48169,"""Garza, (TX)""",26.8,23.8 - 27.7 (49),8.7,27.9,23.7,30.0,0.0,0.5,4.4,40.4,53.9,11.3,6739,2005-2007,180.61
85,48171,"""Gillespie, (TX)""",13.0,11.5 - 16.0 (51),9.8,27.1,21.8,9.8,0.0,0.1,0.0,75.6,22.5,28.7,25939,2005-2007,337.21
86,48173,"""Glasscock, (TX)""",12.0,11.5 - 16.0 (51),9.0,28.0,22.5,8.7,0.0,0.0,0.0,59.4,40.5,13.9,1420,2005-2007,17.04
87,48175,"""Goliad, (TX)""",23.7,20.0 - 23.7 (52),9.4,30.1,23.4,14.3,0.0,0.1,5.3,58.6,35.6,21.0,7510,2005-2007,177.99
88,48177,"""Gonzales, (TX)""",22.4,20.0 - 23.7 (52),9.8,29.2,25.8,17.1,0.0,0.1,6.6,42.3,50.0,15.9,20558,2005-2007,460.5
89,48179,"""Gray, (TX)""",23.6,20.0 - 23.7 (52),9.6,31.8,23.5,19.4,0.8,0.7,4.2,64.4,27.9,15.8,22962,2005-2007,541.9
