"cnty_fips","display_name","Value","theme_range","dm_prev_adj","ob_prev_adj","ltpia_prev_adj","povpct","perc_aian","perc_api","perc_black","perc_white","perc_hisp","perc_65up","total_pop"
48183,"""Gregg, (TX)""",22.1,"20.1 - 24.2 (52)",10,31.2,25.9,17.4,0.3,1.4,20,58.3,18.1,14.5,123402
48185,"""Grimes, (TX)""",15.5,"13.5 - 16.5 (49)",10.5,30.4,28.3,16.7,0.2,0.1,15.5,58.6,23.6,16,27358
48187,"""Guadalupe, (TX)""",21.7,"20.1 - 24.2 (52)",10.2,31.8,22.4,9.8,0.2,1.6,7,51.3,37.3,13.1,150889
48189,"""Hale, (TX)""",19.7,"16.6 - 20.0 (51)",8.6,31.3,25.5,21.6,0,0.2,4.4,34.5,58.7,12.9,34527
48191,"""Hall, (TX)""",18.9,"16.6 - 20.0 (51)",9.4,29.2,23.9,25.8,0,0.4,7.4,56.7,34.1,22.7,3102
48193,"""Hamilton, (TX)""",52.5,"24.3 - 52.5 (48)",8.9,27.9,22.2,15.1,0.7,0.1,0.6,85,12,25.4,8220
48195,"""Hansford, (TX)""",9.4,"4.4 - 13.4 (52)",8.5,30.2,24.2,13.4,0.1,0,0,53.3,46.4,15.5,5532
48197,"""Hardeman, (TX)""",16.2,"13.5 - 16.5 (49)",9,29.3,24.5,17.8,0.4,0.4,6.9,68.6,21.3,20,3990
48199,"""Hardin, (TX)""",18,"16.6 - 20.0 (51)",8.8,30.1,28.3,10.8,0.2,0.5,5.6,87,5.3,15.8,55993
48201,"""Harris, (TX)""",18.5,"16.6 - 20.0 (51)",10.5,26.9,22.7,16.6,0.1,6.8,18.5,30.6,42.2,9.6,4525519
48203,"""Harrison, (TX)""",26.8,"24.3 - 52.5 (48)",11,34.9,29.8,17.4,0.3,0.7,21.3,63.8,12.7,15.6,66606
48205,"""Hartley, (TX)""",16.5,"13.5 - 16.5 (49)",9,29,23.8,9.6,0,1.3,8.4,59.5,26.2,13.9,5821
48207,"""Haskell, (TX)""",15.9,"13.5 - 16.5 (49)",8.8,28.1,25,24.5,0.5,0.7,3.1,65.8,27.6,21.2,5806
48209,"""Hays, (TX)""",11.9,"4.4 - 13.4 (52)",9.8,27.5,17.8,12.4,0.2,1.3,3.4,55.2,37.7,10.2,194843
48211,"""Hemphill, (TX)""",14.1,"13.5 - 16.5 (49)",8.8,28.3,23,10,0.3,0.3,0.7,61.8,35.1,12.4,4152
48213,"""Henderson, (TX)""",24.4,"24.3 - 52.5 (48)",8.6,33.3,30.5,16.8,0.8,0.7,6.5,78.9,12.1,21.3,79687
48215,"""Hidalgo, (TX)""",24.6,"24.3 - 52.5 (48)",10.1,30.1,20.9,31.2,0,0.9,0.4,6.5,91.8,10.4,839539
48217,"""Hill, (TX)""",21.5,"20.1 - 24.2 (52)",9.2,29,27.2,16.2,0.2,0.4,6.2,71.3,19.9,20.2,35098
48219,"""Hockley, (TX)""",27.8,"24.3 - 52.5 (48)",9.1,30.7,28.3,17.1,0.5,0.2,3.6,47.7,46.9,13.5,23273
48221,"""Hood, (TX)""",12.9,"4.4 - 13.4 (52)",9.1,27.8,25.4,10.3,0.8,0.8,0.6,84.8,11.9,24,55418
48223,"""Hopkins, (TX)""",19.8,"16.6 - 20.0 (51)",9.8,31.3,27.1,15.3,0.2,0.7,6.6,73.9,16.3,17.6,35929
48225,"""Houston, (TX)""",27.3,"24.3 - 52.5 (48)",9.1,27.4,27.6,22.1,0.1,0.3,24.9,61.9,10.6,20.9,22849
48227,"""Howard, (TX)""",19.5,"16.6 - 20.0 (51)",10,36.2,24.1,17.9,0.6,0.8,5.1,50,41.1,12.5,36491
48229,"""Hudspeth, (TX)""",12.4,"4.4 - 13.4 (52)",9,29.4,22.9,21.4,0,1.1,1.4,18.4,78.3,16.3,3702
48231,"""Hunt, (TX)""",23.7,"20.1 - 24.2 (52)",9.9,31.5,24.9,16.3,0.7,1.2,7.7,72.8,15.3,15.6,90322
48233,"""Hutchinson, (TX)""",11.3,"4.4 - 13.4 (52)",9.3,30.9,29.8,13.1,1.3,0.8,1.9,71.2,22.5,15.3,21704
48235,"""Irion, (TX)""",13.3,"4.4 - 13.4 (52)",8.5,28.7,22,8,0,0,3.2,72.4,22.8,17.7,1592
48237,"""Jack, (TX)""",27.9,"24.3 - 52.5 (48)",8.6,28.4,23.2,17.2,0.3,0.1,4.4,77.9,16.2,16,8839
48239,"""Jackson, (TX)""",13.5,"13.5 - 16.5 (49)",9.2,30.9,23.4,13.5,0,0.3,7.1,59.3,32.2,16.6,14756
48241,"""Jasper, (TX)""",17.5,"16.6 - 20.0 (51)",10.6,31.6,22.7,19.2,0.1,0.5,16.7,74.7,6.4,18.4,35444
