"","cnty_fips","display_name","Y","theme_range","X","year","E","SIR"
"116",48231,"""Hunt, (TX)""",85.6,"65.9 - 103.1 (50)",NA,"2014-2016",54.4850393700787,1.57
"117",48233,"""Hutchinson, (TX)""",47,"42.5 - 50.7 (49)",NA,"2014-2016",54.4850393700787,0.86
"118",48235,"""Irion, (TX)""",54,"50.8 - 58.7 (51)",NA,"2014-2016",54.4850393700787,0.99
"119",48237,"""Jack, (TX)""",62.2,"58.8 - 65.8 (50)",NA,"2014-2016",54.4850393700787,1.14
"120",48239,"""Jackson, (TX)""",59.8,"58.8 - 65.8 (50)",NA,"2014-2016",54.4850393700787,1.1
"121",48241,"""Jasper, (TX)""",66.9,"65.9 - 103.1 (50)",NA,"2014-2016",54.4850393700787,1.23
"122",48243,"""Jeff Davis, (TX)""",19.6,"19.6 - 42.4 (52)",NA,"2014-2016",54.4850393700787,0.36
"123",48245,"""Jefferson, (TX)""",60.2,"58.8 - 65.8 (50)",NA,"2014-2016",54.4850393700787,1.1
"124",48247,"""Jim Hogg, (TX)""",51.1,"50.8 - 58.7 (51)",NA,"2014-2016",54.4850393700787,0.94
"125",48249,"""Jim Wells, (TX)""",75.5,"65.9 - 103.1 (50)",NA,"2014-2016",54.4850393700787,1.39
"126",48251,"""Johnson, (TX)""",76.2,"65.9 - 103.1 (50)",NA,"2014-2016",54.4850393700787,1.4
"127",48253,"""Jones, (TX)""",86.4,"65.9 - 103.1 (50)",NA,"2014-2016",54.4850393700787,1.59
"128",48255,"""Karnes, (TX)""",44.2,"42.5 - 50.7 (49)",NA,"2014-2016",54.4850393700787,0.81
"129",48257,"""Kaufman, (TX)""",64.8,"58.8 - 65.8 (50)",NA,"2014-2016",54.4850393700787,1.19
"130",48259,"""Kendall, (TX)""",31.2,"19.6 - 42.4 (52)",NA,"2014-2016",54.4850393700787,0.57
"131",48261,"""Kenedy, (TX)""",80.1,"65.9 - 103.1 (50)",NA,"2014-2016",54.4850393700787,1.47
"132",48263,"""Kent, (TX)""",45.7,"42.5 - 50.7 (49)",NA,"2014-2016",54.4850393700787,0.84
"133",48265,"""Kerr, (TX)""",33.8,"19.6 - 42.4 (52)",NA,"2014-2016",54.4850393700787,0.62
"134",48267,"""Kimble, (TX)""",27.6,"19.6 - 42.4 (52)",NA,"2014-2016",54.4850393700787,0.51
"135",48269,"""King, (TX)""",-1,"",NA,"2014-2016",54.4850393700787,-0.02
"136",48271,"""Kinney, (TX)""",44.3,"42.5 - 50.7 (49)",NA,"2014-2016",54.4850393700787,0.81
"137",48273,"""Kleberg, (TX)""",98.6,"65.9 - 103.1 (50)",NA,"2014-2016",54.4850393700787,1.81
"138",48275,"""Knox, (TX)""",44.6,"42.5 - 50.7 (49)",NA,"2014-2016",54.4850393700787,0.82
"139",48277,"""Lamar, (TX)""",73.1,"65.9 - 103.1 (50)",NA,"2014-2016",54.4850393700787,1.34
"140",48279,"""Lamb, (TX)""",58.6,"50.8 - 58.7 (51)",NA,"2014-2016",54.4850393700787,1.08
"141",48281,"""Lampasas, (TX)""",63.9,"58.8 - 65.8 (50)",NA,"2014-2016",54.4850393700787,1.17
"142",48283,"""La Salle, (TX)""",76.8,"65.9 - 103.1 (50)",NA,"2014-2016",54.4850393700787,1.41
"143",48285,"""Lavaca, (TX)""",35.4,"19.6 - 42.4 (52)",NA,"2014-2016",54.4850393700787,0.65
"144",48287,"""Lee, (TX)""",61.5,"58.8 - 65.8 (50)",NA,"2014-2016",54.4850393700787,1.13
"145",48289,"""Leon, (TX)""",55.7,"50.8 - 58.7 (51)",NA,"2014-2016",54.4850393700787,1.02
"146",48291,"""Liberty, (TX)""",103.1,"65.9 - 103.1 (50)",NA,"2014-2016",54.4850393700787,1.89
"147",48293,"""Limestone, (TX)""",56.9,"50.8 - 58.7 (51)",NA,"2014-2016",54.4850393700787,1.04
"148",48295,"""Lipscomb, (TX)""",35,"19.6 - 42.4 (52)",NA,"2014-2016",54.4850393700787,0.64
"149",48297,"""Live Oak, (TX)""",53.2,"50.8 - 58.7 (51)",NA,"2014-2016",54.4850393700787,0.98
"150",48299,"""Llano, (TX)""",45.7,"42.5 - 50.7 (49)",NA,"2014-2016",54.4850393700787,0.84
"151",48301,"""Loving, (TX)""",-1,"",NA,"2014-2016",54.4850393700787,-0.02
"152",48303,"""Lubbock, (TX)""",58.4,"50.8 - 58.7 (51)",NA,"2014-2016",54.4850393700787,1.07
"153",48305,"""Lynn, (TX)""",55.2,"50.8 - 58.7 (51)",NA,"2014-2016",54.4850393700787,1.01
"154",48307,"""McCulloch, (TX)""",37.4,"19.6 - 42.4 (52)",NA,"2014-2016",54.4850393700787,0.69
"155",48309,"""McLennan, (TX)""",60.7,"58.8 - 65.8 (50)",NA,"2014-2016",54.4850393700787,1.11
"156",48311,"""McMullen, (TX)""",48.4,"42.5 - 50.7 (49)",NA,"2014-2016",54.4850393700787,0.89
"157",48313,"""Madison, (TX)""",61.2,"58.8 - 65.8 (50)",NA,"2014-2016",54.4850393700787,1.12
"158",48315,"""Marion, (TX)""",70.9,"65.9 - 103.1 (50)",NA,"2014-2016",54.4850393700787,1.3
"159",48317,"""Martin, (TX)""",38.1,"19.6 - 42.4 (52)",NA,"2014-2016",54.4850393700787,0.7
"160",48319,"""Mason, (TX)""",31.7,"19.6 - 42.4 (52)",NA,"2014-2016",54.4850393700787,0.58
"161",48321,"""Matagorda, (TX)""",77.8,"65.9 - 103.1 (50)",NA,"2014-2016",54.4850393700787,1.43
"162",48323,"""Maverick, (TX)""",63.1,"58.8 - 65.8 (50)",NA,"2014-2016",54.4850393700787,1.16
"163",48325,"""Medina, (TX)""",49.1,"42.5 - 50.7 (49)",NA,"2014-2016",54.4850393700787,0.9
"164",48327,"""Menard, (TX)""",47.5,"42.5 - 50.7 (49)",NA,"2014-2016",54.4850393700787,0.87
"165",48329,"""Midland, (TX)""",42.4,"19.6 - 42.4 (52)",NA,"2014-2016",54.4850393700787,0.78
"166",48331,"""Milam, (TX)""",65.7,"58.8 - 65.8 (50)",NA,"2014-2016",54.4850393700787,1.21
"167",48333,"""Mills, (TX)""",44.5,"42.5 - 50.7 (49)",NA,"2014-2016",54.4850393700787,0.82
"168",48335,"""Mitchell, (TX)""",42.9,"42.5 - 50.7 (49)",NA,"2014-2016",54.4850393700787,0.79
"169",48337,"""Montague, (TX)""",54.8,"50.8 - 58.7 (51)",NA,"2014-2016",54.4850393700787,1.01
"170",48339,"""Montgomery, (TX)""",64.5,"58.8 - 65.8 (50)",NA,"2014-2016",54.4850393700787,1.18
"171",48341,"""Moore, (TX)""",58.1,"50.8 - 58.7 (51)",NA,"2014-2016",54.4850393700787,1.07
"172",48343,"""Morris, (TX)""",66.2,"65.9 - 103.1 (50)",NA,"2014-2016",54.4850393700787,1.22
"173",48345,"""Motley, (TX)""",36.4,"19.6 - 42.4 (52)",NA,"2014-2016",54.4850393700787,0.67
"174",48347,"""Nacogdoches, (TX)""",57.7,"50.8 - 58.7 (51)",NA,"2014-2016",54.4850393700787,1.06
"175",48349,"""Navarro, (TX)""",65.8,"58.8 - 65.8 (50)",NA,"2014-2016",54.4850393700787,1.21
"176",48351,"""Newton, (TX)""",67.8,"65.9 - 103.1 (50)",NA,"2014-2016",54.4850393700787,1.24
"177",48353,"""Nolan, (TX)""",82.4,"65.9 - 103.1 (50)",NA,"2014-2016",54.4850393700787,1.51
"178",48355,"""Nueces, (TX)""",57,"50.8 - 58.7 (51)",NA,"2014-2016",54.4850393700787,1.05
"179",48357,"""Ochiltree, (TX)""",34.1,"19.6 - 42.4 (52)",NA,"2014-2016",54.4850393700787,0.63
"180",48359,"""Oldham, (TX)""",44,"42.5 - 50.7 (49)",NA,"2014-2016",54.4850393700787,0.81
"181",48361,"""Orange, (TX)""",57.9,"50.8 - 58.7 (51)",NA,"2014-2016",54.4850393700787,1.06
"182",48363,"""Palo Pinto, (TX)""",69,"65.9 - 103.1 (50)",NA,"2014-2016",54.4850393700787,1.27
"183",48365,"""Panola, (TX)""",71.8,"65.9 - 103.1 (50)",NA,"2014-2016",54.4850393700787,1.32
"184",48367,"""Parker, (TX)""",47.6,"42.5 - 50.7 (49)",NA,"2014-2016",54.4850393700787,0.87
